Access Code,Name,Gender,Age,Height,Initial Weight,Lowest Weight,Target Weight,Product Name,Status,Price,Purchased At,Payment Type,Channel
WGWVEHUM,김승혜,FEMALE,25.0,172.0,66.9,65.8,55.0,눔 체중감량 프로그램,completed,112500,2017-04-14 19:03:29.976000,Recurring,others
2N9XVB5B,허승준,MALE,26.0,176.0,70.0,,65.0,눔 체중감량 프로그램,completed,44780,2017-05-23 20:53:54.368000,Recurring,others
ORLGHTGE,이지민,FEMALE,23.0,171.0,98.0,,91.14,눔 체중감량 프로그램 (천원 체험),completed,132000,2017-08-23 23:39:21.840000,Recurring,facebook
KEKFJB7T,장설윤,FEMALE,20.0,160.0,70.7,,53.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-28 20:18:22.824000,Recurring,naver
T8VIUCL6,서성빈,FEMALE,28.0,165.0,55.5,,51.61500168,눔 체중감량 프로그램,completed,44780,2017-05-07 17:50:30.944000,Recurring,facebook
8E08NYF6,정성연,FEMALE,26.0,157.0,67.8,66.4,63.053999999999995,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-24 08:24:43.256000,Recurring,email
7Y5UB99J,장세현,FEMALE,41.0,160.0,54.1,,49.57,눔 체중감량 프로그램,cancelled,112500,2017-05-25 09:38:14.776000,Recurring,others
9NIX7YA6,배수이,FEMALE,23.0,157.0,60.0,60.0,52.0,눔 체중감량 프로그램,completed,44780,2017-04-17 19:19:01.024000,Recurring,others
K0G5GZL5,배소정,FEMALE,22.0,161.0,76.0,,48.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-09 15:24:28.296000,Recurring,facebook
H2W0AU54,조슬지,FEMALE,28.0,159.0,66.3,63.4,61.659,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-08-03 21:03:44.352000,Recurring,facebook
127VQVO8,장승혜,FEMALE,22.0,167.0,63.0,61.2,58.59000015,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-30 09:49:03.624000,Recurring,facebook
ZE5B67UV,임슬민,FEMALE,21.0,158.0,52.7,,49.011,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-06-13 09:40:59.264000,Recurring,facebook
HF6MJ2OO,류소원,FEMALE,30.0,158.0,56.0,56.0,49.0,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-08-22 12:48:08.800000,Recurring,facebook
2TCWUDFT,정슬미,FEMALE,23.0,163.0,61.0,59.7,56.73,눔 체중감량 프로그램 (천원 체험),cancelled,112500,2017-07-11 23:30:44.687999,Recurring,facebook
GNXB123J,서대연,MALE,28.0,179.0,98.1,,73.1,눔 체중감량 프로그램,cancelled,112500,2017-05-18 14:03:06.000000,Recurring,direct
ZNS6U7WV,배원영,MALE,31.0,178.0,93.9,91.0,87.32700348,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-05-12 11:07:15.656000,Recurring,facebook
MG2QF64D,고서혜,FEMALE,22.0,157.0,56.0,54.0,47.0,눔 체중감량 프로그램 (천원 체험),completed,112500,2017-06-19 02:10:51.824001,Recurring,facebook
066EXDWU,안서우,FEMALE,30.0,167.0,63.5,63.4,57.0,눔 체중감량 프로그램,completed,112500,2017-03-29 13:35:57.672000,Recurring,facebook
